question,time,type,datetime
118 ÷ 59,1.52,division,2025-01-12 16:38:00  
11 × 20,1.48,multiplication,2025-01-12 16:39:00  
98 - 87,1.77,subtraction,2025-01-12 16:40:00  
1176 ÷ 98,3.95,division,2025-01-12 16:41:00  
38 + 72,2.25,addition,2025-01-12 16:42:00  
11 × 65,4.36,multiplication,2025-01-12 16:43:00  
54 - 42,1.42,subtraction,2025-01-12 16:44:00  
64 + 19,2.42,addition,2025-01-12 16:45:00  
25 - 22,1.0,subtraction,2025-01-12 16:46:00  
194 ÷ 97,1.15,division,2025-01-12 16:47:00  
8 + 3,1.07,addition,2025-01-12 16:48:00  
33 + 56,2.22,addition,2025-01-12 16:49:00  
84 + 29,2.13,addition,2025-01-12 16:50:00  
75 - 38,4.07,subtraction,2025-01-12 16:51:00  
210 ÷ 21,0.93,division,2025-01-12 16:52:00  
75 - 68,1.18,subtraction,2025-01-12 16:53:00  
210 ÷ 21,1.43,division,2025-01-12 16:54:00  
47 + 61,1.62,addition,2025-01-12 16:55:00  
3 × 5,1.01,multiplication,2025-01-12 16:56:00  
649 ÷ 59,3.1,division,2025-01-12 16:57:00  
594 ÷ 99,2.83,division,2025-01-12 16:58:00  
638 ÷ 58,2.53,division,2025-01-12 16:59:00  
65 - 55,0.91,subtraction,2025-01-12 17:00:00  
62 + 33,2.95,addition,2025-01-12 17:01:00  
10 × 56,1.64,multiplication,2025-01-12 17:02:00  
6 × 34,2.17,multiplication,2025-01-12 17:03:00  
73 - 8,1.3,subtraction,2025-01-12 17:04:00  
48 - 18,1.95,subtraction,2025-01-12 17:05:00  
6 × 91,2.93,multiplication,2025-01-12 17:06:00  
84 - 66,2.83,subtraction,2025-01-12 16:54:20
17 - 8,2.68,subtraction,2025-01-12 16:54:20
24 ÷ 6,0.97,division,2025-01-12 16:54:20
469 ÷ 67,3.99,division,2025-01-12 16:54:20
16 + 79,2.43,addition,2025-01-12 16:54:20
20 + 9,1.31,addition,2025-01-12 16:54:20
99 - 53,2.7,subtraction,2025-01-12 16:54:20
85 + 21,1.99,addition,2025-01-12 16:54:20
8 × 68,5.04,multiplication,2025-01-12 16:54:20
171 ÷ 19,2.23,division,2025-01-12 16:54:20
336 ÷ 56,1.69,division,2025-01-12 16:54:20
80 ÷ 16,4.16,division,2025-01-12 17:02:37
99 - 19,1.77,subtraction,2025-01-12 17:02:37
9 × 19,2.64,multiplication,2025-01-12 17:02:37
83 - 56,3.1,subtraction,2025-01-12 17:02:37
148 ÷ 74,1.19,division,2025-01-12 17:02:37
11 + 93,1.4,addition,2025-01-12 17:02:37
6 × 56,2.68,multiplication,2025-01-12 17:02:37
41 + 19,1.67,addition,2025-01-12 17:02:37
66 - 36,3.27,subtraction,2025-01-12 17:02:37
41 - 12,2.04,subtraction,2025-01-12 17:02:37
100 - 68,1.63,subtraction,2025-01-12 17:02:37
30 + 17,1.24,addition,2025-01-12 17:02:37
46 + 62,1.56,addition,2025-01-12 17:02:37
70 + 61,1.38,addition,2025-01-12 17:52:39
8 × 53,2.58,multiplication,2025-01-12 17:52:39
990 ÷ 90,2.97,division,2025-01-12 17:52:39
77 + 11,1.09,addition,2025-01-12 17:52:39
160 ÷ 16,1.13,division,2025-01-12 17:52:39
31 + 23,2.16,addition,2025-01-12 17:52:39
3 × 86,9.3,multiplication,2025-01-12 17:52:39
66 - 12,1.6,subtraction,2025-01-12 17:52:39
53 + 34,2.85,addition,2025-01-12 17:52:39
79 - 43,3.38,subtraction,2025-01-12 17:52:39
76 + 72,3.22,addition,2025-01-12 19:06:26
6 × 81,3.39,multiplication,2025-01-12 19:06:26
27 - 17,1.14,subtraction,2025-01-12 19:06:26
87 - 17,1.55,subtraction,2025-01-12 19:06:26
2 × 2,0.88,multiplication,2025-01-12 19:06:26
54 - 46,2.13,subtraction,2025-01-12 19:06:26
90 + 86,2.0,addition,2025-01-12 19:06:26
450 ÷ 75,7.96,division,2025-01-12 19:06:26
58 + 42,2.51,addition,2025-01-12 19:06:26
3 × 65,3.27,multiplication,2025-01-12 19:06:26
92 - 7,1.59,subtraction,2025-01-12 19:06:26
306 ÷ 51,1.44,division,2025-01-12 19:07:03
5 × 34,4.06,multiplication,2025-01-12 19:07:03
71 + 22,2.19,addition,2025-01-12 19:07:03
27 + 72,2.98,addition,2025-01-12 19:07:03
240 ÷ 24,1.24,division,2025-01-12 19:07:03
70 + 33,1.25,addition,2025-01-12 19:07:03
39 + 21,1.85,addition,2025-01-12 19:07:03
10 × 75,1.36,multiplication,2025-01-12 19:07:03
50 - 11,1.74,subtraction,2025-01-12 19:07:03
424 ÷ 53,1.81,division,2025-01-12 19:07:03
37 + 46,3.99,addition,2025-01-12 19:07:37
12 × 35,7.32,multiplication,2025-01-12 19:07:37
528 ÷ 48,3.65,division,2025-01-12 19:07:37
12 × 77,7.35,multiplication,2025-01-12 19:07:37
14 ÷ 2,1.02,division,2025-01-12 19:07:37
36 - 34,0.93,subtraction,2025-01-12 19:07:37
4 × 59,5.14,multiplication,2025-01-12 19:07:37
90 + 18,1.53,addition,2025-01-12 19:08:16
666 ÷ 74,2.03,division,2025-01-12 19:08:16
10 × 48,1.76,multiplication,2025-01-12 19:08:16
3 + 56,1.58,addition,2025-01-12 19:08:16
660 ÷ 66,1.69,division,2025-01-12 19:08:16
51 + 68,2.4,addition,2025-01-12 19:08:16
94 - 3,1.49,subtraction,2025-01-12 19:08:16
85 - 12,1.69,subtraction,2025-01-12 19:08:16
8 × 5,1.35,multiplication,2025-01-12 19:08:16
90 + 59,1.65,addition,2025-01-12 19:08:16
65 - 31,1.58,subtraction,2025-01-12 19:08:16
93 - 76,4.12,subtraction,2025-01-12 19:08:16
10 × 59,1.3,multiplication,2025-01-12 19:08:53
10 × 51,1.41,multiplication,2025-01-12 19:08:53
9 + 61,1.58,addition,2025-01-12 19:08:53
10 × 11,0.96,multiplication,2025-01-12 19:08:53
476 ÷ 68,2.93,division,2025-01-12 19:08:53
2 × 97,2.43,multiplication,2025-01-12 19:08:53
584 ÷ 73,2.33,division,2025-01-12 19:08:53
93 + 47,2.77,addition,2025-01-12 19:08:53
245 ÷ 49,2.1,division,2025-01-12 19:08:53
68 - 47,3.84,subtraction,2025-01-12 19:08:53
2 × 54,1.72,multiplication,2025-01-12 19:08:53
13 + 58,1.81,addition,2025-01-12 19:08:53
66 - 11,1.22,subtraction,2025-01-12 19:08:53
285 ÷ 57,3.11,division,2025-01-12 19:08:53
100 - 44,1.56,subtraction,2025-01-12 20:06:08
57 + 27,3.89,addition,2025-01-12 20:06:08
20 ÷ 10,1.34,division,2025-01-12 20:06:08
296 ÷ 37,2.01,division,2025-01-12 20:06:08
11 × 72,2.76,multiplication,2025-01-12 20:06:08
9 × 64,4.96,multiplication,2025-01-12 20:06:08
5 × 19,5.41,multiplication,2025-01-12 20:06:08
71 + 25,1.9,addition,2025-01-12 20:06:08
8 × 63,4.74,multiplication,2025-01-12 20:06:08
319 ÷ 29,2.83,division,2025-01-12 20:06:43
34 + 35,4.41,addition,2025-01-12 20:06:43
28 - 20,1.2,subtraction,2025-01-12 20:06:43
946 ÷ 86,2.01,division,2025-01-12 20:06:43
18 - 9,0.97,subtraction,2025-01-12 20:06:43
14 + 61,2.19,addition,2025-01-12 20:06:43
60 + 77,4.11,addition,2025-01-12 20:06:43
348 ÷ 58,1.95,division,2025-01-12 20:06:43
4 × 43,3.73,multiplication,2025-01-12 20:06:43
55 - 3,1.34,subtraction,2025-01-12 20:06:43
92 + 50,2.18,addition,2025-01-12 20:06:43
80 ÷ 10,0.83,division,2025-01-12 20:08:11
71 - 69,2.27,subtraction,2025-01-12 20:08:11
8 × 46,7.4,multiplication,2025-01-12 20:08:11
720 ÷ 72,0.97,division,2025-01-12 20:08:11
42 - 11,1.37,subtraction,2025-01-12 20:08:11
7 × 79,4.72,multiplication,2025-01-12 20:08:11
759 ÷ 69,1.89,division,2025-01-12 20:08:11
71 + 65,1.91,addition,2025-01-12 20:08:11
282 ÷ 94,1.78,division,2025-01-12 20:08:11
10 × 58,1.45,multiplication,2025-01-12 20:08:11
36 - 14,1.57,subtraction,2025-01-12 20:08:11
69 + 62,2.27,addition,2025-01-12 20:08:11
245 ÷ 49,1.6,division,2025-01-12 20:08:11
738 ÷ 82,1.4,division,2025-01-12 21:30:38
2 × 79,2.57,multiplication,2025-01-12 21:30:38
74 + 51,1.83,addition,2025-01-12 21:30:38
234 ÷ 39,1.53,division,2025-01-12 21:30:38
10 × 44,1.32,multiplication,2025-01-12 21:30:38
204 ÷ 17,12.41,division,2025-01-12 21:30:38
90 + 11,1.24,addition,2025-01-12 21:30:38
69 - 28,3.81,subtraction,2025-01-12 21:30:38
59 + 55,3.07,addition,2025-01-12 21:31:14
66 - 20,1.59,subtraction,2025-01-12 21:31:14
6 × 71,2.16,multiplication,2025-01-12 21:31:14
68 - 66,0.9,subtraction,2025-01-12 21:31:14
76 + 42,3.16,addition,2025-01-12 21:31:14
90 - 58,2.8,subtraction,2025-01-12 21:31:14
50 + 36,1.54,addition,2025-01-12 21:31:14
2 × 73,2.03,multiplication,2025-01-12 21:31:14
160 ÷ 32,2.16,division,2025-01-12 21:31:14
42 - 31,1.59,subtraction,2025-01-12 21:31:14
63 - 38,2.83,subtraction,2025-01-12 21:31:14
5 × 2,1.09,multiplication,2025-01-12 21:31:14
12 + 7,3.03,addition,2025-01-12 21:31:14
99 - 82,2.04,subtraction,2025-01-12 21:31:14
12 × 21,4.34,multiplication,2025-01-12 21:31:53
11 × 12,3.09,multiplication,2025-01-12 21:31:53
672 ÷ 56,8.2,division,2025-01-12 21:31:53
93 + 48,5.36,addition,2025-01-12 21:31:53
99 + 85,2.74,addition,2025-01-12 21:31:53
66 - 45,1.92,subtraction,2025-01-12 21:31:53
2 × 82,1.49,multiplication,2025-01-12 21:31:53
702 ÷ 78,1.81,division,2025-01-13 21:01:37
84 ÷ 28,1.06,division,2025-01-13 21:01:37
28 + 21,1.75,addition,2025-01-13 21:01:37
4 × 100,1.48,multiplication,2025-01-13 21:01:37
9 × 25,6.62,multiplication,2025-01-13 21:01:37
75 - 18,3.64,subtraction,2025-01-13 21:01:37
22 + 11,1.74,addition,2025-01-13 21:01:37
230 ÷ 23,0.81,division,2025-01-13 21:01:37
35 + 10,1.09,addition,2025-01-13 21:01:37
32 + 82,2.06,addition,2025-01-13 21:01:37
71 - 40,1.35,subtraction,2025-01-13 21:01:37
25 + 4,1.09,addition,2025-01-13 21:01:37
67 - 45,4.49,subtraction,2025-01-13 21:01:37
9 × 61,3.15,multiplication,2025-01-13 21:02:15
77 + 12,1.75,addition,2025-01-13 21:02:15
85 + 48,3.26,addition,2025-01-13 21:02:15
12 × 13,7.51,multiplication,2025-01-13 21:02:15
30 + 93,1.48,addition,2025-01-13 21:02:15
91 + 47,2.53,addition,2025-01-13 21:02:15
50 + 2,1.31,addition,2025-01-13 21:02:15
81 + 2,1.3,addition,2025-01-13 21:02:15
10 × 21,1.24,multiplication,2025-01-13 21:02:15
5 × 53,5.02,multiplication,2025-01-13 21:02:15
44 + 64,2.34,addition,2025-01-13 21:02:51
3 × 85,3.52,multiplication,2025-01-13 21:02:51
69 + 49,1.89,addition,2025-01-13 21:02:51
82 + 39,2.94,addition,2025-01-13 21:02:51
50 + 60,1.24,addition,2025-01-13 21:02:51
561 ÷ 51,2.35,division,2025-01-13 21:02:51
10 × 32,1.16,multiplication,2025-01-13 21:02:51
444 ÷ 74,1.79,division,2025-01-13 21:02:51
72 + 18,1.23,addition,2025-01-13 21:02:51
700 ÷ 100,1.11,division,2025-01-13 21:02:51
10 × 75,1.34,multiplication,2025-01-13 21:02:51
73 + 82,2.79,addition,2025-01-13 21:02:51
71 - 60,1.19,subtraction,2025-01-13 21:02:51
4 + 60,3.51,addition,2025-01-13 21:02:51
297 ÷ 27,1.46,division,2025-01-13 21:02:51
29 - 20,1.05,subtraction,2025-01-13 22:50:33
27 + 95,3.24,addition,2025-01-13 22:50:33
900 ÷ 75,4.99,division,2025-01-13 22:50:33
276 ÷ 23,2.56,division,2025-01-13 22:50:33
588 ÷ 49,3.72,division,2025-01-13 22:50:33
27 + 47,2.78,addition,2025-01-13 22:50:33
4 × 45,1.7,multiplication,2025-01-13 22:50:33
87 + 55,3.4,addition,2025-01-13 22:50:33
497 ÷ 71,2.73,division,2025-01-13 22:50:33
325 ÷ 65,1.98,division,2025-01-13 22:50:33
95 - 63,3.98,subtraction,2025-01-13 23:32:07
96 - 21,2.51,subtraction,2025-01-13 23:32:07
120 ÷ 30,0.95,division,2025-01-13 23:32:07
45 + 77,2.96,addition,2025-01-13 23:32:07
384 ÷ 96,1.67,division,2025-01-13 23:32:07
6 × 61,2.57,multiplication,2025-01-13 23:32:07
21 + 40,2.12,addition,2025-01-13 23:32:07
540 ÷ 54,0.99,division,2025-01-14 20:36:15
76 ÷ 38,3.28,division,2025-01-14 20:36:15
11 × 64,3.41,multiplication,2025-01-14 20:36:15
84 + 78,2.22,addition,2025-01-14 20:36:15
4 × 82,4.23,multiplication,2025-01-14 20:36:15
39 - 24,1.52,subtraction,2025-01-14 20:36:15
324 ÷ 36,1.57,division,2025-01-14 20:36:15
84 + 30,4.99,addition,2025-01-14 20:36:15
3 + 6,0.99,addition,2025-01-14 20:36:15
98 + 59,6.12,addition,2025-01-14 20:36:15
60 - 4,1.18,subtraction,2025-01-14 20:36:47
112 ÷ 14,2.06,division,2025-01-14 20:36:47
222 ÷ 37,4.07,division,2025-01-14 20:36:47
87 - 70,1.37,subtraction,2025-01-14 20:36:47
21 - 5,1.31,subtraction,2025-01-14 20:36:47
216 ÷ 72,1.76,division,2025-01-14 20:36:47
92 - 88,1.12,subtraction,2025-01-14 20:36:47
504 ÷ 63,3.79,division,2025-01-14 20:36:47
979 ÷ 89,2.07,division,2025-01-14 20:36:47
6 + 12,1.07,addition,2025-01-14 20:36:47
79 - 11,3.36,subtraction,2025-01-14 20:36:47
54 - 4,1.1,subtraction,2025-01-14 20:36:47
54 + 32,1.83,addition,2025-01-14 20:36:47
80 - 27,2.58,subtraction,2025-01-14 20:36:47
183 ÷ 61,1.36,division,2025-01-14 20:36:47
12 × 90,6.15,multiplication,2025-01-14 20:37:24
83 + 15,1.74,addition,2025-01-14 20:37:24
9 × 79,13.06,multiplication,2025-01-14 20:37:24
4 × 61,2.48,multiplication,2025-01-14 20:37:24
225 ÷ 45,1.23,division,2025-01-14 20:37:24
72 + 2,1.51,addition,2025-01-14 20:37:24
49 - 24,3.23,subtraction,2025-01-14 20:37:58
252 ÷ 63,1.71,division,2025-01-14 20:37:58
52 - 22,1.78,subtraction,2025-01-14 20:37:58
564 ÷ 94,1.66,division,2025-01-14 20:37:58
11 × 77,3.8,multiplication,2025-01-14 20:37:58
96 ÷ 12,6.88,division,2025-01-14 20:37:58
166 ÷ 83,1.43,division,2025-01-14 20:37:58
11 × 25,2.2,multiplication,2025-01-14 20:37:58
98 - 74,3.8,subtraction,2025-01-14 20:37:58
98 - 60,1.95,subtraction,2025-01-14 20:37:58
72 - 8,1.51,subtraction,2025-01-14 20:38:39
89 - 33,3.64,subtraction,2025-01-14 20:38:39
38 - 12,2.36,subtraction,2025-01-14 20:38:39
11 × 58,2.73,multiplication,2025-01-14 20:38:39
3 × 89,5.04,multiplication,2025-01-14 20:38:39
455 ÷ 91,1.16,division,2025-01-14 20:38:39
6 × 90,1.69,multiplication,2025-01-14 20:38:39
292 ÷ 73,1.46,division,2025-01-14 20:38:39
3 × 23,2.23,multiplication,2025-01-14 20:38:39
87 - 39,5.68,subtraction,2025-01-14 20:38:39
8 + 97,1.85,addition,2025-01-14 20:38:39
42 ÷ 21,0.94,division,2025-01-15 23:15:00
3 × 98,5.88,multiplication,2025-01-15 23:15:00
93 - 38,2.53,subtraction,2025-01-15 23:15:00
91 - 41,1.47,subtraction,2025-01-15 23:15:00
12 + 31,1.31,addition,2025-01-15 23:15:00
21 ÷ 7,1.61,division,2025-01-15 23:15:00
5 × 92,3.04,multiplication,2025-01-15 23:15:00
5 × 59,9.43,multiplication,2025-01-15 23:15:00
810 ÷ 90,0.99,division,2025-01-15 23:15:00
648 ÷ 72,2.72,division,2025-01-15 23:15:00
4 × 71,2.47,multiplication,2025-01-15 23:15:36
49 + 84,2.58,addition,2025-01-15 23:15:36
12 × 45,8.91,multiplication,2025-01-15 23:15:36
158 ÷ 79,0.99,division,2025-01-15 23:15:36
4 × 33,4.45,multiplication,2025-01-15 23:15:36
91 + 46,4.12,addition,2025-01-15 23:15:36
58 + 87,2.43,addition,2025-01-15 23:16:29
49 - 29,1.95,subtraction,2025-01-15 23:16:29
56 - 13,1.43,subtraction,2025-01-15 23:16:29
9 × 58,5.55,multiplication,2025-01-15 23:16:29
5 × 100,1.05,multiplication,2025-01-15 23:16:29
1000 ÷ 100,1.39,division,2025-01-15 23:16:29
63 + 77,1.69,addition,2025-01-15 23:16:29
7 × 70,1.57,multiplication,2025-01-15 23:16:29
72 + 24,4.71,addition,2025-01-15 23:16:29
10 × 28,1.5,multiplication,2025-01-15 23:16:29
64 + 51,2.21,addition,2025-01-15 23:16:29
5 × 56,3.65,multiplication,2025-01-15 23:16:29
58 + 61,2.12,addition,2025-01-15 23:17:09
784 ÷ 98,1.27,division,2025-01-15 23:17:09
88 - 60,2.66,subtraction,2025-01-15 23:17:09
336 ÷ 56,1.23,division,2025-01-15 23:17:09
360 ÷ 30,3.33,division,2025-01-15 23:17:09
63 - 23,2.17,subtraction,2025-01-15 23:17:09
492 ÷ 41,2.03,division,2025-01-15 23:17:09
8 × 31,2.74,multiplication,2025-01-15 23:17:09
21 + 50,1.43,addition,2025-01-15 23:17:09
84 - 73,1.21,subtraction,2025-01-15 23:17:09
2 × 27,1.16,multiplication,2025-01-15 23:17:09
252 ÷ 42,2.47,division,2025-01-15 23:17:09
45 + 64,2.68,addition,2025-01-15 23:17:09
40 - 21,1.41,subtraction,2025-01-15 23:17:09
90 - 67,1.88,subtraction,2025-01-15 23:17:45
168 ÷ 14,2.14,division,2025-01-15 23:17:45
8 × 27,9.2,multiplication,2025-01-15 23:17:45
62 - 5,2.0,subtraction,2025-01-15 23:17:45
89 + 9,1.53,addition,2025-01-15 23:17:45
240 ÷ 40,1.94,division,2025-01-15 23:17:45
10 + 35,1.17,addition,2025-01-15 23:17:45
23 - 19,1.04,subtraction,2025-01-15 23:17:45
216 ÷ 18,3.79,division,2025-01-15 23:17:45
97 - 32,2.8,subtraction,2025-01-15 23:17:45
60 + 48,1.94,addition,2025-01-15 23:17:45
15 + 94,3.52,addition,2025-01-15 23:18:41
24 ÷ 6,4.76,division,2025-01-15 23:18:41
4 + 54,1.36,addition,2025-01-15 23:18:41
2 × 62,2.49,multiplication,2025-01-15 23:18:41
285 ÷ 57,3.57,division,2025-01-15 23:18:41
4 + 92,2.27,addition,2025-01-15 23:18:41
66 - 4,1.34,subtraction,2025-01-15 23:18:41
12 × 73,4.79,multiplication,2025-01-15 23:18:41
32 + 27,2.4,addition,2025-01-15 23:18:41
94 - 60,1.63,subtraction,2025-01-15 23:18:41
100 - 55,1.46,subtraction,2025-01-15 23:18:41
75 + 72,2.25,addition,2025-01-15 23:19:14
6 × 30,1.18,multiplication,2025-01-15 23:19:14
25 + 33,1.66,addition,2025-01-15 23:19:14
122 ÷ 61,0.87,division,2025-01-15 23:19:14
570 ÷ 57,1.3,division,2025-01-15 23:19:14
5 × 26,3.02,multiplication,2025-01-15 23:19:14
57 + 2,2.04,addition,2025-01-15 23:19:14
97 - 55,5.24,subtraction,2025-01-15 23:19:14
10 × 22,1.48,multiplication,2025-01-15 23:19:14
3 × 86,4.19,multiplication,2025-01-15 23:19:14
74 - 33,2.65,subtraction,2025-01-15 23:19:14
97 + 73,3.79,addition,2025-01-15 23:19:14
52 - 17,3.4,subtraction,2025-01-15 23:21:16
46 - 39,4.57,subtraction,2025-01-15 23:21:16
12 + 10,1.13,addition,2025-01-15 23:21:16
6 × 51,1.69,multiplication,2025-01-15 23:21:16
10 × 97,1.5,multiplication,2025-01-15 23:21:16
98 - 83,1.28,subtraction,2025-01-15 23:21:16
19 - 2,0.91,subtraction,2025-01-15 23:21:16
73 + 60,2.52,addition,2025-01-15 23:21:16
2 × 55,1.23,multiplication,2025-01-15 23:21:16
413 ÷ 59,6.16,division,2025-01-15 23:21:16
30 - 23,1.82,subtraction,2025-01-15 23:21:16
75 - 45,1.21,subtraction,2025-01-15 23:21:16
12 × 70,2.5,multiplication,2025-01-15 23:21:16
774 ÷ 86,2.09,division,2025-01-15 23:22:54
405 ÷ 45,1.63,division,2025-01-15 23:22:54
484 ÷ 44,2.43,division,2025-01-15 23:22:54
4 × 62,2.63,multiplication,2025-01-15 23:22:54
12 × 95,6.73,multiplication,2025-01-15 23:22:54
23 - 7,6.41,subtraction,2025-01-15 23:22:54
51 - 32,2.3,subtraction,2025-01-15 23:22:54
32 + 40,1.62,addition,2025-01-15 23:22:54
75 - 63,1.29,subtraction,2025-01-15 23:22:54
10 + 56,1.69,addition,2025-01-15 23:22:54
35 + 35,1.1,addition,2025-01-15 23:23:30
45 - 20,1.94,subtraction,2025-01-15 23:23:30
32 + 100,1.66,addition,2025-01-15 23:23:30
8 × 9,1.7,multiplication,2025-01-15 23:23:30
90 ÷ 45,1.11,division,2025-01-15 23:23:30
85 + 82,4.21,addition,2025-01-15 23:23:30
56 - 42,1.85,subtraction,2025-01-15 23:23:30
5 × 58,2.66,multiplication,2025-01-15 23:23:30
2 × 96,2.79,multiplication,2025-01-15 23:23:30
13 + 27,1.5,addition,2025-01-15 23:23:30
10 + 81,1.29,addition,2025-01-15 23:23:30
27 + 70,2.9,addition,2025-01-15 23:23:30
98 + 68,3.3,addition,2025-01-15 23:23:30
5 × 2,0.71,multiplication,2025-01-18 16:37:51
9 × 6,1.14,multiplication,2025-01-18 16:37:51
89 + 18,1.6,addition,2025-01-18 16:37:51
61 + 59,2.03,addition,2025-01-18 16:37:51
8 × 87,9.11,multiplication,2025-01-18 16:37:51
638 ÷ 58,4.6,division,2025-01-18 16:37:51
7 × 49,4.73,multiplication,2025-01-18 16:37:51
90 + 61,1.4,addition,2025-01-18 16:37:51
88 - 74,1.84,subtraction,2025-01-18 16:37:51
34 ÷ 17,0.89,division,2025-01-18 16:37:51
93 - 36,2.87,subtraction,2025-01-18 16:38:24
